/home/aejohnson13/miniforge3/envs/pytorch_env/lib/python3.11/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
cuda version: 12.8
number of gpus: 2
starting epochs on gpu 0
starting epochs on gpu 1
Epoch 0 time (perf_counter): 39.818s
Epoch 0 time (event): 39.817s
Epoch 0 time (perf_counter): 39.821s
Epoch 0 time (event): 39.820s
Epoch 1 time (perf_counter): 39.160s
Epoch 1 time (event): 39.159s
Epoch 1 time (perf_counter): 39.179s
Epoch 1 time (event): 39.179s
Epoch 2 time (perf_counter): 38.975s
Epoch 2 time (event): 38.974s
Epoch 2 time (perf_counter): 38.964s
Epoch 2 time (event): 38.964s
Epoch 3 time (perf_counter): 39.071s
Epoch 3 time (event): 39.070s
Epoch 3 time (perf_counter): 39.080s
Epoch 3 time (event): 39.080s
Epoch 4 time (perf_counter): 39.054s
Epoch 4 time (event): 39.054s
Epoch 4 time (perf_counter): 39.060s
Epoch 4 time (event): 39.060s
Epoch 5 time (perf_counter): 38.957s
Epoch 5 time (event): 38.956s
Epoch 5 time (perf_counter): 38.977s
Epoch 5 time (event): 38.976s
Epoch 6 time (perf_counter): 39.002s
Epoch 6 time (event): 39.002s
Epoch 6 time (perf_counter): 39.014s
Epoch 6 time (event): 39.014s
Epoch 7 time (perf_counter): 39.034s
Epoch 7 time (event): 39.034s
Epoch 7 time (perf_counter): 39.070s
Epoch 7 time (event): 39.069s
Epoch 8 time (perf_counter): 38.973s
Epoch 8 time (event): 38.973s
Epoch 8 time (perf_counter): 38.986s
Epoch 8 time (event): 38.985s
Epoch 9 time (perf_counter): 39.035s
Epoch 9 time (event): 39.035s
Epoch 9 time (perf_counter): 39.056s
Epoch 9 time (event): 39.056s
[rank0]:[W212 18:12:17.463651575 ProcessGroupNCCL.cpp:1524] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator())
