Epoch,epoch_time, loss
[0],[25.740533037111163],[1.194657421875]
[1],[24.879560340195894],[0.8209903125]
[2],[24.646666672080755],[0.61091734375]
[3],[24.94208175316453],[0.4710399609375]
[4],[24.87414930202067],[0.377117421875]
[5],[24.9060603287071],[0.3114968359375]
[6],[24.730993419885635],[0.2596729296875]
[7],[24.706315487623215],[0.2246902734375]
[8],[24.875211469829082],[0.198683203125]
[9],[24.83030098117888],[0.178646640625]
[10],[24.946457147598267],[0.1638778515625]
[11],[24.79487194120884],[0.150343125]
[12],[24.879430068656802],[0.138834736328125]
[13],[24.789831094443798],[0.135683740234375]
[14],[24.77039130218327],[0.125272587890625]
[15],[24.910359667614102],[0.115617109375]
[16],[24.933961909264326],[0.111849296875]
[17],[24.828548656776547],[0.111730703125]
[18],[24.652005475014448],[0.106254462890625]
[19],[24.84261353313923],[0.101744580078125]
[20],[24.79988162778318],[0.095324423828125]
[21],[24.943511735647917],[0.09269197265625]
[22],[24.94225013628602],[0.089092646484375]
[23],[24.883782340213656],[0.093367353515625]
[24],[24.956210631877184],[0.086475341796875]
[25],[24.773653699085116],[0.087025849609375]
[26],[24.768402852118015],[0.0738383837890625]
[27],[24.896227976307273],[0.0725044677734375]
[28],[24.801490232348442],[0.074066015625]
[29],[24.854088701307774],[0.0740160595703125]
[30],[24.64427320100367],[0.0736113134765625]
[31],[24.972736068069935],[0.0739986376953125]
[32],[24.905490156263113],[0.0604089013671875]
[33],[24.788963545113802],[0.0659466015625]
[34],[24.747132375836372],[0.0662203759765625]
[35],[24.86070387251675],[0.0664430419921875]
[36],[24.83922114595771],[0.0623703173828125]
[37],[24.677977623417974],[0.0549417626953125]
[38],[24.8603592608124],[0.05600724609375]
[39],[24.853899905458093],[0.0544440673828125]
[40],[24.93593638204038],[0.0566586083984375]
[41],[24.886723164469004],[0.0516897119140625]
[42],[24.880053533241153],[0.0512374072265625]
[43],[24.991825871169567],[0.05191634765625]
[44],[24.76381110213697],[0.0485888623046875]
[45],[24.78839792124927],[0.049625185546875]
[46],[24.828863395377994],[0.0444483544921875]
[47],[24.692608680576086],[0.048839541015625]
[48],[24.90423785895109],[0.046596455078125]
[49],[24.760574473068118],[0.046530087890625]
[50],[24.783618975430727],[0.0411151904296875]
[51],[24.73657477647066],[0.0436697509765625]
[52],[24.839916665107012],[0.04205390625]
[53],[24.912352222949266],[0.0425103173828125]
[54],[24.761897133663297],[0.0387368212890625]
[55],[24.809427415952086],[0.04063212158203125]
[56],[24.786318708211184],[0.04200318359375]
[57],[24.89724025130272],[0.03961549072265625]
[58],[24.72572829388082],[0.03726828369140625]
[59],[24.83574396930635],[0.0392476025390625]
[60],[24.85609133169055],[0.0397014990234375]
[61],[24.821915425360203],[0.03530814453125]
[62],[24.641124023124576],[0.034003779296875]
[63],[24.868777208030224],[0.0321101318359375]
[64],[24.872217759490013],[0.03576490234375]
[65],[24.77372656017542],[0.035035380859375]
[66],[24.774820398539305],[0.0375718310546875]
[67],[24.726039143279195],[0.03268156005859375]
[68],[24.904460901394486],[0.032833466796875]
[69],[24.748532166704535],[0.0312728564453125]
[70],[24.99277826398611],[0.029704140625]
[71],[24.89744737558067],[0.027903974609375]
[72],[24.820782171562314],[0.03233025390625]
[73],[24.774215744808316],[0.03171967529296875]
[74],[24.7115538418293],[0.0282682666015625]
[75],[24.805809369310737],[0.02680990478515625]
[76],[24.760861039161682],[0.029856865234375]
[77],[24.729407040402293],[0.02873463623046875]
[78],[24.82866127975285],[0.0302928955078125]
[79],[24.728681154549122],[0.02581548828125]
[80],[24.751416752114892],[0.02654748046875]
[81],[24.94355515576899],[0.0236658154296875]
[82],[24.81839368864894],[0.0252987939453125]
[83],[24.694180227816105],[0.0252378515625]
[84],[24.68137266114354],[0.02638707763671875]
[85],[24.661035960540175],[0.0276325634765625]
[86],[24.896027768030763],[0.02521101318359375]
[87],[24.830637207254767],[0.0238055615234375]
[88],[24.826697217300534],[0.02322761474609375]
[89],[24.78072394244373],[0.02208287109375]
[90],[24.732837475836277],[0.023186533203125]
[91],[24.9030448384583],[0.02645208251953125]
[92],[24.922237250953913],[0.020155120849609375]
[93],[24.84639979340136],[0.02600010498046875]
[94],[24.723062124103308],[0.021001572265625]
[95],[24.754696501418948],[0.0216508447265625]
[96],[24.696549898013473],[0.02074337890625]
[97],[24.838518956676126],[0.02119050537109375]
[98],[24.72271698899567],[0.0224573486328125]
[99],[24.964002300053835],[0.020897548828125]
[100],[24.721819242462516],[0.022271865234375]
[101],[24.85863846167922],[0.0207084326171875]
[102],[24.845417458564043],[0.018931595458984374]
