Epoch,epoch_time, loss
[0],[25.977023413404822],[1.199072265625]
[1],[25.18773757107556],[0.821933125]
[2],[25.21857423707843],[0.623615625]
[3],[25.0318059977144],[0.467683046875]
[4],[25.2575643081218],[0.3830084375]
[5],[25.205900013446808],[0.3124640625]
[6],[25.34387213923037],[0.26374484375]
[7],[25.297833988443017],[0.22482658203125]
[8],[25.314139975234866],[0.19732541015625]
[9],[25.09258005581796],[0.18768646484375]
[10],[25.134599896147847],[0.1642284375]
[11],[25.443394415080547],[0.156757197265625]
[12],[25.179952962324023],[0.14332416015625]
