Epoch,epoch_time, loss
[0],[470.63931237347424],[2.23459875]
[1],[449.32151868753135],[1.584904375]
[2],[451.00732450932264],[1.229887578125]
[3],[450.10896510258317],[0.954226171875]
[4],[446.21632948331535],[0.751075703125]
[5],[422.5664319060743],[0.6037506640625]
[6],[407.0181053876877],[0.4968537890625]
[7],[393.73888438008726],[0.4129649609375]
[8],[393.0242843646556],[0.363349765625]
[9],[394.480027589947],[0.3199140625]
[10],[386.4445755723864],[0.279756171875]
[11],[379.9107283242047],[0.25321552734375]
[12],[377.9948672428727],[0.227603828125]
[13],[371.7750469520688],[0.2105379296875]
[14],[370.9263003952801],[0.19408802734375]
