Epoch,epoch_time, loss
[0],[40.77986264973879],[1.98778484375]
[1],[12.972824504598975],[1.30431359375]
[2],[12.797389255836606],[0.904838828125]
[3],[12.61386526748538],[0.642579296875]
[4],[12.330931367352605],[0.48725609375]
[5],[12.453462706878781],[0.376711640625]
[6],[12.40432352386415],[0.313429296875]
[7],[12.4401133377105],[0.280773984375]
[8],[12.432713355869055],[0.24580787109375]
[9],[12.551893020048738],[0.22323701171875]
[10],[12.40937184356153],[0.211724921875]
[11],[12.50568181835115],[0.19496076171875]
[12],[12.615604508668184],[0.17793435546875]
[13],[12.418074492365122],[0.1669455078125]
[14],[12.64063529483974],[0.155093662109375]
[15],[12.495989380404353],[0.146253037109375]
[16],[12.479884471744299],[0.13606091796875]
[17],[12.477198814973235],[0.132278388671875]
[18],[12.522730875760317],[0.121451513671875]
[19],[12.37153402902186],[0.10828384765625]
[20],[12.425463031977415],[0.113470478515625]
[21],[12.353309923782945],[0.11157431640625]
[22],[12.420015711337328],[0.109815615234375]
[23],[12.673713589087129],[0.09881912109375]
[24],[12.359785303473473],[0.088673154296875]
