timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/17 11:44:48.688, 0 %, 0 %, 36
2026/03/17 11:44:48.689, 0 %, 0 %, 34
2026/03/17 11:44:48.692, 0 %, 0 %, 36
2026/03/17 11:44:48.694, 0 %, 0 %, 35
2026/03/17 11:44:48.697, 0 %, 0 %, 30
2026/03/17 11:44:48.700, 0 %, 0 %, 31
2026/03/17 11:44:48.702, 0 %, 0 %, 27
2026/03/17 11:44:48.703, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/17 11:44:58.784, 0 %, 0 %, 36
2026/03/17 11:44:58.786, 0 %, 0 %, 34
2026/03/17 11:44:58.787, 0 %, 0 %, 36
2026/03/17 11:44:58.788, 0 %, 0 %, 35
2026/03/17 11:44:58.790, 0 %, 0 %, 30
2026/03/17 11:44:58.791, 0 %, 0 %, 31
2026/03/17 11:44:58.792, 0 %, 0 %, 27
2026/03/17 11:44:58.795, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/17 11:45:08.874, 0 %, 0 %, 36
2026/03/17 11:45:08.877, 0 %, 0 %, 34
2026/03/17 11:45:08.880, 0 %, 0 %, 36
2026/03/17 11:45:08.883, 0 %, 0 %, 35
2026/03/17 11:45:08.885, 0 %, 0 %, 30
2026/03/17 11:45:08.887, 0 %, 0 %, 31
2026/03/17 11:45:08.889, 0 %, 0 %, 27
2026/03/17 11:45:08.891, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/17 11:45:18.971, 0 %, 0 %, 36
2026/03/17 11:45:18.972, 0 %, 0 %, 34
2026/03/17 11:45:18.974, 0 %, 0 %, 36
2026/03/17 11:45:18.975, 0 %, 0 %, 35
2026/03/17 11:45:18.976, 0 %, 0 %, 30
2026/03/17 11:45:18.979, 0 %, 0 %, 31
2026/03/17 11:45:18.980, 0 %, 0 %, 27
2026/03/17 11:45:18.983, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/17 11:45:29.061, 0 %, 0 %, 36
2026/03/17 11:45:29.064, 0 %, 0 %, 34
2026/03/17 11:45:29.066, 0 %, 0 %, 36
2026/03/17 11:45:29.068, 0 %, 0 %, 35
2026/03/17 11:45:29.069, 0 %, 0 %, 30
2026/03/17 11:45:29.070, 0 %, 0 %, 31
2026/03/17 11:45:29.073, 0 %, 0 %, 27
2026/03/17 11:45:29.074, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/17 11:45:39.153, 0 %, 0 %, 36
2026/03/17 11:45:39.156, 0 %, 0 %, 34
2026/03/17 11:45:39.157, 0 %, 0 %, 36
2026/03/17 11:45:39.160, 0 %, 0 %, 35
2026/03/17 11:45:39.162, 0 %, 0 %, 30
2026/03/17 11:45:39.165, 0 %, 0 %, 31
2026/03/17 11:45:39.166, 0 %, 0 %, 27
2026/03/17 11:45:39.169, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/17 11:45:49.247, 0 %, 0 %, 36
2026/03/17 11:45:49.249, 0 %, 0 %, 34
2026/03/17 11:45:49.250, 0 %, 0 %, 36
2026/03/17 11:45:49.251, 0 %, 0 %, 35
2026/03/17 11:45:49.253, 0 %, 0 %, 30
2026/03/17 11:45:49.254, 0 %, 0 %, 31
2026/03/17 11:45:49.257, 0 %, 0 %, 27
2026/03/17 11:45:49.258, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/17 11:45:59.337, 0 %, 0 %, 36
2026/03/17 11:45:59.340, 0 %, 0 %, 34
2026/03/17 11:45:59.342, 0 %, 0 %, 36
2026/03/17 11:45:59.345, 0 %, 0 %, 35
2026/03/17 11:45:59.348, 0 %, 0 %, 30
2026/03/17 11:45:59.350, 0 %, 0 %, 31
2026/03/17 11:45:59.352, 0 %, 0 %, 27
2026/03/17 11:45:59.355, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/17 11:46:09.433, 0 %, 0 %, 36
2026/03/17 11:46:09.436, 0 %, 0 %, 34
2026/03/17 11:46:09.437, 0 %, 0 %, 36
2026/03/17 11:46:09.438, 0 %, 0 %, 35
2026/03/17 11:46:09.440, 0 %, 0 %, 30
2026/03/17 11:46:09.441, 0 %, 0 %, 31
2026/03/17 11:46:09.442, 0 %, 0 %, 27
2026/03/17 11:46:09.443, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/17 11:46:19.523, 0 %, 0 %, 36
2026/03/17 11:46:19.525, 0 %, 0 %, 34
2026/03/17 11:46:19.527, 0 %, 0 %, 36
2026/03/17 11:46:19.530, 0 %, 0 %, 35
2026/03/17 11:46:19.533, 0 %, 0 %, 30
2026/03/17 11:46:19.535, 0 %, 0 %, 31
2026/03/17 11:46:19.538, 0 %, 0 %, 27
2026/03/17 11:46:19.540, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/17 11:46:29.618, 0 %, 0 %, 36
2026/03/17 11:46:29.621, 0 %, 0 %, 34
2026/03/17 11:46:29.622, 0 %, 0 %, 36
2026/03/17 11:46:29.623, 0 %, 0 %, 35
2026/03/17 11:46:29.625, 0 %, 0 %, 30
2026/03/17 11:46:29.626, 0 %, 0 %, 31
2026/03/17 11:46:29.627, 0 %, 0 %, 27
2026/03/17 11:46:29.630, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/17 11:46:39.709, 0 %, 0 %, 36
2026/03/17 11:46:39.710, 0 %, 0 %, 34
2026/03/17 11:46:39.713, 0 %, 0 %, 36
2026/03/17 11:46:39.715, 0 %, 0 %, 35
2026/03/17 11:46:39.718, 0 %, 0 %, 30
2026/03/17 11:46:39.720, 0 %, 0 %, 31
2026/03/17 11:46:39.723, 0 %, 0 %, 27
2026/03/17 11:46:39.725, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/17 11:46:49.803, 0 %, 0 %, 36
2026/03/17 11:46:49.806, 0 %, 0 %, 34
2026/03/17 11:46:49.807, 0 %, 0 %, 36
2026/03/17 11:46:49.808, 0 %, 0 %, 35
2026/03/17 11:46:49.810, 0 %, 0 %, 30
2026/03/17 11:46:49.812, 0 %, 0 %, 31
2026/03/17 11:46:49.814, 0 %, 0 %, 27
2026/03/17 11:46:49.816, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/17 11:46:59.908, 0 %, 0 %, 36
2026/03/17 11:46:59.910, 0 %, 0 %, 34
2026/03/17 11:46:59.912, 0 %, 0 %, 36
2026/03/17 11:46:59.915, 0 %, 0 %, 35
2026/03/17 11:46:59.918, 0 %, 0 %, 30
2026/03/17 11:46:59.919, 0 %, 0 %, 31
2026/03/17 11:46:59.921, 0 %, 0 %, 27
2026/03/17 11:46:59.923, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/17 11:47:10.002, 0 %, 0 %, 36
2026/03/17 11:47:10.005, 0 %, 0 %, 34
2026/03/17 11:47:10.006, 0 %, 0 %, 36
2026/03/17 11:47:10.007, 0 %, 0 %, 35
2026/03/17 11:47:10.009, 0 %, 0 %, 30
2026/03/17 11:47:10.011, 0 %, 0 %, 31
2026/03/17 11:47:10.013, 0 %, 0 %, 27
2026/03/17 11:47:10.015, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/17 11:47:20.095, 0 %, 0 %, 36
2026/03/17 11:47:20.096, 0 %, 0 %, 34
2026/03/17 11:47:20.099, 0 %, 0 %, 36
2026/03/17 11:47:20.101, 0 %, 0 %, 35
2026/03/17 11:47:20.104, 0 %, 0 %, 30
2026/03/17 11:47:20.107, 0 %, 0 %, 31
2026/03/17 11:47:20.108, 0 %, 0 %, 27
2026/03/17 11:47:20.109, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/17 11:47:30.212, 0 %, 0 %, 36
2026/03/17 11:47:30.215, 0 %, 0 %, 34
2026/03/17 11:47:30.216, 0 %, 0 %, 36
2026/03/17 11:47:30.218, 0 %, 0 %, 35
2026/03/17 11:47:30.219, 0 %, 0 %, 30
2026/03/17 11:47:30.220, 0 %, 0 %, 31
2026/03/17 11:47:30.223, 0 %, 0 %, 27
