timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:30:34.659, 0 %, 0 %, 35
2026/03/04 13:30:34.662, 0 %, 0 %, 29
2026/03/04 13:30:34.663, 0 %, 0 %, 31
2026/03/04 13:30:34.666, 0 %, 0 %, 27
2026/03/04 13:30:34.668, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:30:44.746, 0 %, 0 %, 41
2026/03/04 13:30:44.747, 0 %, 0 %, 33
2026/03/04 13:30:44.749, 0 %, 0 %, 35
2026/03/04 13:30:44.750, 0 %, 0 %, 35
2026/03/04 13:30:44.752, 0 %, 0 %, 29
2026/03/04 13:30:44.754, 0 %, 0 %, 31
2026/03/04 13:30:44.755, 0 %, 0 %, 27
2026/03/04 13:30:44.758, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:30:54.835, 0 %, 0 %, 41
2026/03/04 13:30:54.837, 0 %, 0 %, 33
2026/03/04 13:30:54.840, 0 %, 0 %, 36
2026/03/04 13:30:54.842, 0 %, 0 %, 35
2026/03/04 13:30:54.845, 0 %, 0 %, 29
2026/03/04 13:30:54.846, 0 %, 0 %, 31
2026/03/04 13:30:54.849, 0 %, 0 %, 27
2026/03/04 13:30:54.850, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:31:04.930, 0 %, 0 %, 41
2026/03/04 13:31:04.932, 0 %, 0 %, 33
2026/03/04 13:31:04.934, 0 %, 0 %, 35
2026/03/04 13:31:04.935, 0 %, 0 %, 35
2026/03/04 13:31:04.936, 0 %, 0 %, 29
2026/03/04 13:31:04.939, 0 %, 0 %, 31
2026/03/04 13:31:04.940, 0 %, 0 %, 27
2026/03/04 13:31:04.943, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:31:15.020, 0 %, 0 %, 41
2026/03/04 13:31:15.021, 0 %, 0 %, 33
2026/03/04 13:31:15.024, 0 %, 0 %, 35
2026/03/04 13:31:15.026, 0 %, 0 %, 35
2026/03/04 13:31:15.029, 0 %, 0 %, 29
2026/03/04 13:31:15.030, 0 %, 0 %, 31
2026/03/04 13:31:15.033, 0 %, 0 %, 27
2026/03/04 13:31:15.034, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:31:25.112, 0 %, 0 %, 41
2026/03/04 13:31:25.115, 0 %, 0 %, 33
2026/03/04 13:31:25.118, 0 %, 0 %, 35
2026/03/04 13:31:25.119, 0 %, 0 %, 35
2026/03/04 13:31:25.120, 0 %, 0 %, 29
2026/03/04 13:31:25.122, 0 %, 0 %, 31
2026/03/04 13:31:25.123, 0 %, 0 %, 27
2026/03/04 13:31:25.126, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:31:35.203, 0 %, 0 %, 41
2026/03/04 13:31:35.204, 0 %, 0 %, 33
2026/03/04 13:31:35.205, 0 %, 0 %, 36
2026/03/04 13:31:35.208, 0 %, 0 %, 35
2026/03/04 13:31:35.210, 0 %, 0 %, 29
2026/03/04 13:31:35.213, 0 %, 0 %, 31
2026/03/04 13:31:35.214, 0 %, 0 %, 27
2026/03/04 13:31:35.216, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:31:45.294, 0 %, 0 %, 41
2026/03/04 13:31:45.296, 0 %, 0 %, 33
2026/03/04 13:31:45.299, 0 %, 0 %, 36
2026/03/04 13:31:45.300, 0 %, 0 %, 35
2026/03/04 13:31:45.303, 0 %, 0 %, 29
2026/03/04 13:31:45.304, 0 %, 0 %, 31
2026/03/04 13:31:45.306, 0 %, 0 %, 27
2026/03/04 13:31:45.309, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:31:55.374, 0 %, 0 %, 41
2026/03/04 13:31:55.375, 0 %, 0 %, 33
2026/03/04 13:31:55.377, 0 %, 0 %, 35
2026/03/04 13:31:55.379, 0 %, 0 %, 35
2026/03/04 13:31:55.382, 0 %, 0 %, 29
2026/03/04 13:31:55.385, 0 %, 0 %, 31
2026/03/04 13:31:55.386, 0 %, 0 %, 27
2026/03/04 13:31:55.389, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:32:05.466, 0 %, 0 %, 41
2026/03/04 13:32:05.469, 0 %, 0 %, 33
2026/03/04 13:32:05.470, 0 %, 0 %, 35
2026/03/04 13:32:05.472, 0 %, 0 %, 35
2026/03/04 13:32:05.473, 0 %, 0 %, 29
2026/03/04 13:32:05.474, 0 %, 0 %, 31
2026/03/04 13:32:05.477, 0 %, 0 %, 27
2026/03/04 13:32:05.478, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:32:15.557, 0 %, 0 %, 41
2026/03/04 13:32:15.558, 0 %, 0 %, 33
2026/03/04 13:32:15.560, 0 %, 0 %, 35
2026/03/04 13:32:15.563, 0 %, 0 %, 35
