Epoch,epoch_time, loss
[0],[483.0447402372956],[2.367926875]
[1],[480.39220855385065],[1.7074178125]
[2],[503.41759106330574],[1.31308328125]
[3],[472.934954687953],[1.030295625]
[4],[479.3818917553872],[0.809735]
[5],[471.8902228474617],[0.643406640625]
[6],[473.5168119855225],[0.5199742578125]
[7],[475.274591865018],[0.438654375]
[8],[477.79987432807684],[0.3747490625]
[9],[480.8403820116073],[0.3322781640625]
[10],[473.0288940947503],[0.290308828125]
[11],[464.56444886513054],[0.2616534765625]
[12],[464.9012730233371],[0.23770779296875]
[13],[470.024278620258],[0.218409765625]
[14],[477.1750551518053],[0.19842572265625]
