Epoch,epoch_time, loss
[0],[411.5953996796161],[1.4793459375]
[1],[412.9711845032871],[1.35928109375]
[2],[509.99812194518745],[1.272583984375]
[3],[545.9679392278194],[1.18308796875]
[4],[565.4414157904685],[1.128122578125]
[5],[538.5524997077882],[1.078230859375]
[6],[429.69221936166286],[1.026595859375]
[7],[420.5276571698487],[0.990177890625]
[8],[430.12890402786434],[0.940740859375]
[9],[429.78771495074034],[0.903566875]
[10],[426.30886338092387],[0.877721484375]
[11],[433.29415905848145],[0.8441275]
[12],[447.26089598611],[0.82086734375]
[13],[450.74068015255034],[0.7904125]
[14],[456.1155713945627],[0.770964140625]
[15],[462.80406443215907],[0.7411678125]
[16],[455.66532449238],[0.71529859375]
[17],[439.0928885564208],[0.689004453125]
[18],[419.85376405902207],[0.66936734375]
[19],[413.4201023299247],[0.65373359375]
[20],[444.35546704009175],[0.6309703125]
[21],[466.7362228538841],[0.6167340234375]
[22],[404.185120806098],[0.59673859375]
[23],[411.20615309104323],[0.575019375]
[24],[400.2885061521083],[0.5620604296875]
[25],[408.420685749501],[0.5474537890625]
[26],[412.98500892706215],[0.532319921875]
[27],[401.8697613365948],[0.5173198828125]
[28],[410.8814118374139],[0.5101926953125]
[29],[418.26310715824366],[0.4836167578125]
[30],[417.73066849820316],[0.47772734375]
[31],[417.6380803529173],[0.45988921875]
[32],[422.38593061454594],[0.4484044921875]
[33],[410.55070644430816],[0.44316765625]
[34],[412.1323293726891],[0.4289110546875]
[35],[420.42005261965096],[0.419225234375]
[36],[418.22864185646176],[0.408098828125]
[37],[420.41074051335454],[0.392936484375]
[38],[417.7548098489642],[0.3821711328125]
[39],[415.17162872105837],[0.382686640625]
[40],[420.81925040856004],[0.370765]
[41],[419.454046824947],[0.3655353125]
[42],[431.5386083498597],[0.351686796875]
[43],[421.17270800098777],[0.3444562109375]
[44],[423.83895005099475],[0.334004453125]
[45],[481.46069026738405],[0.329872734375]
[46],[460.42836810834706],[0.32582134765625]
[47],[466.6677103303373],[0.317499765625]
[48],[470.2879592124373],[0.3106958203125]
[49],[478.4229368939996],[0.30626775390625]
[50],[464.36881472170353],[0.29263685546875]
[51],[465.208547398448],[0.288730234375]
[52],[457.8144641779363],[0.283948125]
[53],[471.3606092017144],[0.28183876953125]
[54],[465.53350175730884],[0.277342109375]
[55],[462.23966865986586],[0.26454]
[56],[472.3458630107343],[0.2626361328125]
[57],[451.40463828109205],[0.2602261328125]
[58],[450.4928201343864],[0.25080974609375]
[59],[455.1645567342639],[0.2513827734375]
[60],[436.8698767554015],[0.25170640625]
[61],[423.57767544686794],[0.23846599609375]
[62],[405.57237333618104],[0.23864375]
[63],[415.7729842029512],[0.2355023046875]
[64],[413.2988709434867],[0.23172861328125]
[65],[415.1646666955203],[0.22212857421875]
[66],[415.27570497617126],[0.2176702734375]
[67],[415.0134912766516],[0.2230025]
[68],[413.14110765606165],[0.21600251953125]
[69],[413.9381169192493],[0.210601875]
[70],[420.06260252930224],[0.2116473046875]
[71],[417.0201199259609],[0.207213515625]
[72],[419.7530336212367],[0.2055139453125]
[73],[416.50959520600736],[0.19866984375]
[74],[424.3101431205869],[0.1925315234375]
[75],[418.056969165802],[0.1938089453125]
[76],[421.5893778167665],[0.1916225]
[77],[422.0444753523916],[0.1898015625]
[78],[415.63521779701114],[0.19195287109375]
[79],[414.4112868886441],[0.1863621875]
[80],[408.96492851898074],[0.17801751953125]
[81],[419.304805316031],[0.1760410546875]
[82],[406.4133499972522],[0.1826094140625]
[83],[416.9661828316748],[0.1772103515625]
[84],[422.5292318034917],[0.1697769140625]
[85],[414.5809890124947],[0.16981912109375]
[86],[416.09934357739985],[0.1722519140625]
[87],[413.1463809274137],[0.16764544921875]
[88],[413.7607942093164],[0.16603576171875]
[89],[416.00905760005116],[0.16443541015625]
[90],[413.7026142068207],[0.1622366796875]
[91],[415.8295039534569],[0.161144521484375]
[92],[409.134586436674],[0.156519365234375]
[93],[413.31925693526864],[0.1566146484375]
[94],[404.2355941068381],[0.15344677734375]
[95],[410.0407124888152],[0.15186794921875]
[96],[400.5377659816295],[0.150825205078125]
[97],[406.39917848445475],[0.15058171875]
[98],[413.0496243145317],[0.1498612890625]
