timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 11:19:19.823, 0 %, 0 %, 40
2026/03/04 11:19:19.824, 0 %, 0 %, 33
2026/03/04 11:19:19.827, 0 %, 0 %, 35
2026/03/04 11:19:19.830, 0 %, 0 %, 35
2026/03/04 11:19:19.834, 0 %, 0 %, 29
2026/03/04 11:19:19.838, 0 %, 0 %, 30
2026/03/04 11:19:19.840, 0 %, 0 %, 26
2026/03/04 11:19:19.844, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 11:19:29.925, 0 %, 0 %, 40
2026/03/04 11:19:29.926, 0 %, 0 %, 33
2026/03/04 11:19:29.929, 0 %, 0 %, 35
2026/03/04 11:19:29.930, 0 %, 0 %, 35
2026/03/04 11:19:29.932, 0 %, 0 %, 29
2026/03/04 11:19:29.933, 0 %, 0 %, 30
2026/03/04 11:19:29.936, 0 %, 0 %, 26
2026/03/04 11:19:29.937, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 11:19:40.024, 0 %, 0 %, 40
2026/03/04 11:19:40.027, 0 %, 0 %, 34
2026/03/04 11:19:40.028, 0 %, 0 %, 37
2026/03/04 11:19:40.030, 0 %, 0 %, 37
2026/03/04 11:19:40.032, 0 %, 0 %, 31
2026/03/04 11:19:40.034, 0 %, 0 %, 32
2026/03/04 11:19:40.036, 0 %, 0 %, 28
2026/03/04 11:19:40.038, 0 %, 0 %, 30
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 11:19:50.113, 0 %, 0 %, 40
2026/03/04 11:19:50.115, 0 %, 0 %, 35
2026/03/04 11:19:50.118, 0 %, 0 %, 38
2026/03/04 11:19:50.119, 0 %, 0 %, 38
2026/03/04 11:19:50.120, 0 %, 0 %, 32
2026/03/04 11:19:50.121, 0 %, 0 %, 33
2026/03/04 11:19:50.123, 0 %, 0 %, 29
2026/03/04 11:19:50.124, 0 %, 0 %, 31
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 11:20:00.199, 0 %, 0 %, 40
2026/03/04 11:20:00.201, 0 %, 0 %, 36
2026/03/04 11:20:00.203, 0 %, 0 %, 38
2026/03/04 11:20:00.205, 0 %, 0 %, 38
2026/03/04 11:20:00.207, 0 %, 0 %, 33
2026/03/04 11:20:00.209, 0 %, 0 %, 33
2026/03/04 11:20:00.210, 0 %, 0 %, 30
2026/03/04 11:20:00.213, 0 %, 0 %, 31
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 11:20:10.289, 0 %, 0 %, 40
2026/03/04 11:20:10.292, 0 %, 0 %, 36
2026/03/04 11:20:10.293, 0 %, 0 %, 39
2026/03/04 11:20:10.295, 0 %, 0 %, 39
2026/03/04 11:20:10.296, 0 %, 0 %, 33
