Epoch,epoch_time, loss
[0],[354.8922291509807],[2.23939296875]
[1],[349.382435599342],[1.66811765625]
[2],[348.69308881275356],[1.3478090625]
[3],[487.19480886496603],[1.0965578125]
[4],[481.0563112795353],[0.90289546875]
[5],[487.9497855491936],[0.747044765625]
[6],[470.6250390354544],[0.61183609375]
[7],[377.513108715415],[0.5209353125]
[8],[353.3313369266689],[0.4446809375]
[9],[350.39660389348865],[0.3831137109375]
[10],[359.00120819173753],[0.34123234375]
[11],[351.0018392726779],[0.30785787109375]
[12],[351.1089597400278],[0.27459283203125]
[13],[359.6480988841504],[0.2478560546875]
[14],[369.5734714884311],[0.228743203125]
[15],[374.7407125029713],[0.21537345703125]
[16],[376.89747595228255],[0.1988128515625]
[17],[387.39603924006224],[0.1813501171875]
[18],[387.2452061381191],[0.171354140625]
[19],[384.5868643000722],[0.162486435546875]
[20],[384.444899989292],[0.14667564453125]
