Epoch,epoch_time, loss
0,89.00754011701792,2.22694328125
1,84.10668114386499,1.66785859375
2,83.9691272592172,1.33877453125
3,87.21039534825832,1.095807109375
4,85.05840686894953,0.898321953125
5,85.15167128201574,0.735905
6,86.65619052015245,0.6070766796875
7,83.55015817191452,0.5171843359375
8,86.98087762016803,0.435493125
9,85.360093427822,0.38358359375
10,84.88605187926441,0.336390703125
11,86.06810037512332,0.2998794140625
12,84.75445758271962,0.27473421875
13,84.46560201700777,0.24627224609375
