Epoch,epoch_time, loss
[0],[87.17366892285645],[1.8157075]
[1],[87.00749996677041],[1.277586015625]
[2],[86.56966758705676],[0.9543453125]
[3],[87.04988323897123],[0.74210484375]
[4],[86.52448945492506],[0.588257890625]
[5],[86.51079621165991],[0.4766930078125]
[6],[87.02439777180552],[0.398968828125]
[7],[86.50407220423222],[0.344326171875]
[8],[86.57476705685258],[0.30863208984375]
[9],[86.46366464160383],[0.27550626953125]
[10],[86.47362706065178],[0.2438948046875]
[11],[86.40288599766791],[0.221940234375]
[12],[86.40667055547237],[0.200620703125]
[13],[86.84668639861047],[0.1941954296875]
[14],[86.54462089762092],[0.1725572265625]
[15],[86.44071664102376],[0.163673544921875]
[16],[86.59470790810883],[0.1553528125]
[17],[86.51061022654176],[0.13936658203125]
